Campaign,Channel,Spend,Revenue,Clicks,Conversions
Mega Discount,Google,14597,34713,8857.0,182
New Launch,LinkedIn,6338,14509,6570.0,255
Festive Blast,LinkedIn,17423,35942,8826.0,639
Festive Blast,LinkedIn,3643,28120,1650.0,619
Festive Blast,Instagram,10700,20467,6239.0,800
Winter Offer,LinkedIn,5923,26376,1860.0,380
Winter Offer,Instagram,8793,15925,8995.0,119
Winter Offer,Google,15232,21501,2864.0,143
Festive Blast,Google,17571,30620,3155.0,108
Festive Blast,LinkedIn,6828,12632,2090.0,275
Winter Offer,LinkedIn,9755,12861,5164.0,484
Mega Discount,Google,6745,29424,8438.0,104
Festive Blast,Google,15910,30646,9048.0,163
New Launch,LinkedIn,14869,35834,7768.0,290
Summer Sale,Google,14805,33534,6379.0,768
Winter Offer,Instagram,7076,13949,725.0,405
New Launch,Instagram,18991,22712,3870.0,136
New Launch,Facebook,7757,21314,956.0,502
Mega Discount,Instagram,7917,32608,8874.0,475
Winter Offer,Instagram,3674,22049,6535.0,308
New Launch,Google,9778,14211,8268.0,168
New Launch,Facebook,17793,23991,1259.0,127
New Launch,Google,17750,37439,8813.0,302
Winter Offer,LinkedIn,14215,34326,8909.0,451
Festive Blast,Instagram,10811,21467,8948.0,547
Summer Sale,Instagram,10106,31975,8880.0,179
Festive Blast,Google,8706,28184,9331.0,697
Festive Blast,Facebook,16267,30015,7075.0,286
New Launch,LinkedIn,13693,36783,2409.0,776
New Launch,Instagram,3282,25560,3164.0,696
Festive Blast,Google,14352,32694,7792.0,396
Festive Blast,Facebook,16384,39052,5967.0,413
Festive Blast,Google,11547,23401,4886.0,60
New Launch,Facebook,7893,32038,1421.0,427
Mega Discount,Google,8913,32610,5499.0,448
New Launch,Instagram,6138,25783,7133.0,454
Summer Sale,Instagram,18487,33046,4018.0,369
Festive Blast,Instagram,13736,19313,9819.0,743
Mega Discount,Facebook,7944,12190,4899.0,485
Mega Discount,Facebook,15276,29802,9896.0,724
Summer Sale,Google,18069,37727,1785.0,643
Festive Blast,LinkedIn,16797,24144,2190.0,177
Mega Discount,LinkedIn,3937,8187,8221.0,361
Summer Sale,LinkedIn,12421,28660,8605.0,208
Mega Discount,LinkedIn,11319,19071,1911.0,612
New Launch,LinkedIn,10458,30758,9834.0,429
New Launch,Facebook,2512,10654,1895.0,505
Mega Discount,LinkedIn,13597,20481,8386.0,149
Mega Discount,Google,9155,22967,6497.0,760
Winter Offer,Instagram,19728,25368,6674.0,51
New Launch,Google,16237,33965,,318
New Launch,Google,17065,25626,5723.0,719
Winter Offer,Google,10631,17236,2425.0,772
Festive Blast,Instagram,10408,22242,1103.0,586
Mega Discount,Google,9229,16193,8767.0,409
Mega Discount,Instagram,7744,22730,7295.0,97
Mega Discount,Facebook,8756,28981,3462.0,417
Summer Sale,Instagram,13829,17396,6949.0,181
Winter Offer,Facebook,3252,24623,5924.0,719
Winter Offer,Facebook,16753,30749,698.0,254
Winter Offer,Google,5690,15487,3291.0,778
Festive Blast,Facebook,3280,18640,5401.0,90
Winter Offer,Facebook,11905,17020,980.0,636
Mega Discount,Instagram,17231,28206,6733.0,597
Winter Offer,Instagram,6335,18304,6002.0,332
Winter Offer,Instagram,6021,10871,7761.0,129
Summer Sale,LinkedIn,9842,20792,8561.0,583
Summer Sale,Instagram,14279,37641,883.0,755
Summer Sale,Google,5720,28100,3128.0,77
Winter Offer,LinkedIn,3855,11674,1238.0,244
New Launch,LinkedIn,13336,26539,799.0,658
Festive Blast,Instagram,16039,39925,1486.0,561
Summer Sale,Instagram,12629,30181,1090.0,650
New Launch,LinkedIn,16289,28077,1023.0,565
Summer Sale,LinkedIn,16359,31090,9720.0,555
Mega Discount,Facebook,10471,18208,6153.0,405
Mega Discount,Facebook,10500,15911,5976.0,251
New Launch,Instagram,17549,41864,6515.0,162
New Launch,LinkedIn,11728,23397,8087.0,385
Summer Sale,Facebook,11791,26104,1556.0,118
Mega Discount,Instagram,3154,17453,2444.0,128
Summer Sale,Facebook,16175,23899,1951.0,383
New Launch,Google,11919,34320,8935.0,589
Mega Discount,Facebook,5867,14178,6109.0,752
New Launch,Google,3084,17453,4373.0,499
Winter Offer,LinkedIn,18713,29954,6316.0,600
Festive Blast,LinkedIn,19920,34416,7815.0,545
Summer Sale,Instagram,7146,17698,3557.0,711
Festive Blast,LinkedIn,2951,17035,2038.0,189
New Launch,Facebook,18219,41329,3568.0,141
Winter Offer,Facebook,7293,30104,,294
Summer Sale,Google,10317,32049,3925.0,660
Mega Discount,Google,6870,25280,5364.0,582
Winter Offer,Facebook,12505,17294,9692.0,391
Festive Blast,Instagram,7031,29838,8981.0,174
Mega Discount,Google,8799,25759,6493.0,311
Festive Blast,Google,6688,28748,6487.0,670
Summer Sale,Instagram,4855,29812,6865.0,472
Summer Sale,LinkedIn,7495,31771,5875.0,578
Mega Discount,LinkedIn,18938,42136,4014.0,318
New Launch,Instagram,3834,10499,9914.0,673
New Launch,Instagram,14836,26633,1994.0,480
New Launch,Facebook,14373,28300,3824.0,534
Winter Offer,Google,12517,22437,9002.0,230
Summer Sale,Instagram,13868,30723,3602.0,230
Festive Blast,Facebook,17882,40367,629.0,220
Mega Discount,Google,9320,15364,6660.0,221
Mega Discount,Google,3329,21151,5480.0,707
Festive Blast,LinkedIn,14169,29382,5458.0,129
Summer Sale,LinkedIn,9101,24307,5811.0,459
